2025-07-15 01:37:07,193 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:07,529 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/logging/log4j/log4j-core/2.24.1/log4j-core-2.24.1.jar HTTP/1.1" 200 1910958
2025-07-15 01:37:07,888 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:08,209 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/logging/log4j/log4j-slf4j2-impl/2.24.1/log4j-slf4j2-impl-2.24.1.jar HTTP/1.1" 200 30133
2025-07-15 01:37:08,372 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:08,682 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/jcraft/jorbis/0.0.17/jorbis-0.0.17.jar HTTP/1.1" 200 99701
2025-07-15 01:37:08,800 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:09,188 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/joml/joml/1.10.8/joml-1.10.8.jar HTTP/1.1" 200 778846
2025-07-15 01:37:09,399 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:09,734 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-freetype/3.3.3/lwjgl-freetype-3.3.3.jar HTTP/1.1" 200 450896
2025-07-15 01:37:09,867 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:10,217 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-glfw/3.3.3/lwjgl-glfw-3.3.3.jar HTTP/1.1" 200 135546
2025-07-15 01:37:10,326 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:10,639 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-jemalloc/3.3.3/lwjgl-jemalloc-3.3.3.jar HTTP/1.1" 200 43896
2025-07-15 01:37:10,951 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:11,257 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-openal/3.3.3/lwjgl-openal-3.3.3.jar HTTP/1.1" 200 110586
2025-07-15 01:37:11,337 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:11,649 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-opengl/3.3.3/lwjgl-opengl-3.3.3.jar HTTP/1.1" 200 929192
2025-07-15 01:37:12,014 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:12,324 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-stb/3.3.3/lwjgl-stb-3.3.3.jar HTTP/1.1" 200 120283
2025-07-15 01:37:12,410 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:12,737 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl-tinyfd/3.3.3/lwjgl-tinyfd-3.3.3.jar HTTP/1.1" 200 13400
2025-07-15 01:37:12,826 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:13,132 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lwjgl/lwjgl/3.3.3/lwjgl-3.3.3.jar HTTP/1.1" 200 785029
2025-07-15 01:37:13,326 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:13,637 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/lz4/lz4-java/1.8.0/lz4-java-1.8.0.jar HTTP/1.1" 200 682804
2025-07-15 01:37:13,836 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:14,156 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/ow2/asm/asm/9.6/asm-9.6.jar HTTP/1.1" 200 123598
2025-07-15 01:37:14,270 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:14,578 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/slf4j/slf4j-api/2.0.16/slf4j-api-2.0.16.jar HTTP/1.1" 200 69435
2025-07-15 01:42:02,942 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:42:03,161 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:42:03,304 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:42:03,371 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:42:03,707 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:46:38,030 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:46:38,321 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:46:38,434 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:46:38,498 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:46:38,847 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:46:43,605 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): piston-meta.mojang.com:443
2025-07-15 01:46:43,942 | DEBUG | urllib3.connectionpool | https://piston-meta.mojang.com:443 "GET /v1/packages/73b41e138b88fcdea153fa4211bbb907e755ebcc/1.21.6.json HTTP/1.1" 200 None
2025-07-15 01:46:44,252 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): piston-data.mojang.com:443
2025-07-15 01:46:44,599 | DEBUG | urllib3.connectionpool | https://piston-data.mojang.com:443 "GET /v1/objects/740a125b83dd3447feaa3c5e891ead7fbb21ae28/client.jar HTTP/1.1" 200 29516555
2025-07-15 01:50:20,582 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:50:20,804 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:50:20,916 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:50:20,981 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:50:21,574 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:53:46,523 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:53:46,738 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:53:46,875 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:53:46,942 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:53:47,387 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:53:58,636 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): minotar.net:443
2025-07-15 01:53:58,857 | DEBUG | urllib3.connectionpool | https://minotar.net:443 "GET /avatar/None/40 HTTP/1.1" 200 345
2025-07-15 01:53:58,972 | DEBUG | charset_normalizer | Encoding detection: Unable to determine any suitable charset.
2025-07-15 01:53:59,038 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:53:59,354 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:54:02,999 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): launchermeta.mojang.com:443
2025-07-15 01:54:03,332 | DEBUG | urllib3.connectionpool | https://launchermeta.mojang.com:443 "GET /mc/game/version_manifest.json HTTP/1.1" 200 None
2025-07-15 01:54:03,383 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): piston-meta.mojang.com:443
2025-07-15 01:54:03,726 | DEBUG | urllib3.connectionpool | https://piston-meta.mojang.com:443 "GET /v1/packages/5d22e5893fd9c565b9a3039f1fc842aef2c4aefc/1.21.7.json HTTP/1.1" 200 None
